#reactor,crimson-osd
121.60,15.20
169.40,15.40
171.60,15.60
171.60,15.60
171.60,15.60
171.60,15.60
173.80,15.80
173.80,15.80
173.80,15.80
173.80,15.80
173.80,15.80
