#reactor,crimson-osd
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.20,2.60
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
5.60,2.80
