#safe_timer,msgr-worker,io_context_pool,fio,log,ceph_timer,ms_dispatch,taskfin_librbd
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
128.00,96.00,64.00,34.00,32.00,32.00,32.00,32.00
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
179.20,134.40,89.60,47.60,44.80,44.80,44.80,44.80
179.20,134.40,89.60,47.60,44.80,44.80,44.80,44.80
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
256.00,192.00,128.00,68.00,64.00,64.00,64.00,64.00
294.40,220.80,147.20,78.20,73.60,73.60,73.60,73.60
294.40,220.80,147.20,78.20,73.60,73.60,73.60,73.60
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
179.20,134.40,89.60,47.60,44.80,44.80,44.80,44.80
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
268.80,201.60,134.40,71.40,67.20,67.20,67.20,67.20
294.40,220.80,147.20,78.20,73.60,73.60,73.60,73.60
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
332.80,249.60,166.40,88.40,83.20,83.20,83.20,83.20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
128.00,96.00,64.00,34.00,32.00,32.00,32.00,32.00
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
179.20,134.40,89.60,47.60,44.80,44.80,44.80,44.80
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
268.80,201.60,134.40,71.40,67.20,67.20,67.20,67.20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
256.00,192.00,128.00,68.00,64.00,64.00,64.00,64.00
268.80,201.60,134.40,71.40,67.20,67.20,67.20,67.20
281.60,211.20,140.80,74.80,70.40,70.40,70.40,70.40
294.40,220.80,147.20,78.20,73.60,73.60,73.60,73.60
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
128.00,96.00,64.00,34.00,32.00,32.00,32.00,32.00
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
179.20,134.40,89.60,47.60,44.80,44.80,44.80,44.80
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
230.40,172.80,115.20,61.20,57.60,57.60,57.60,57.60
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
256.00,192.00,128.00,68.00,64.00,64.00,64.00,64.00
268.80,201.60,134.40,71.40,67.20,67.20,67.20,67.20
281.60,211.20,140.80,74.80,70.40,70.40,70.40,70.40
281.60,211.20,140.80,74.80,70.40,70.40,70.40,70.40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.80,9.60,6.40,3.40,3.20,3.20,3.20,3.20
25.60,19.20,12.80,6.80,6.40,6.40,6.40,6.40
38.40,28.80,19.20,10.20,9.60,9.60,9.60,9.60
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
51.20,38.40,25.60,13.60,12.80,12.80,12.80,12.80
64.00,48.00,32.00,17.00,16.00,16.00,16.00,16.00
76.80,57.60,38.40,20.40,19.20,19.20,19.20,19.20
89.60,67.20,44.80,23.80,22.40,22.40,22.40,22.40
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
102.40,76.80,51.20,27.20,25.60,25.60,25.60,25.60
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
115.20,86.40,57.60,30.60,28.80,28.80,28.80,28.80
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
140.80,105.60,70.40,37.40,35.20,35.20,35.20,35.20
153.60,115.20,76.80,40.80,38.40,38.40,38.40,38.40
166.40,124.80,83.20,44.20,41.60,41.60,41.60,41.60
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
192.00,144.00,96.00,51.00,48.00,48.00,48.00,48.00
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
204.80,153.60,102.40,54.40,51.20,51.20,51.20,51.20
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
217.60,163.20,108.80,57.80,54.40,54.40,54.40,54.40
243.20,182.40,121.60,64.60,60.80,60.80,60.80,60.80
256.00,192.00,128.00,68.00,64.00,64.00,64.00,64.00
268.80,201.60,134.40,71.40,67.20,67.20,67.20,67.20
281.60,211.20,140.80,74.80,70.40,70.40,70.40,70.40
294.40,220.80,147.20,78.20,73.60,73.60,73.60,73.60
307.20,230.40,153.60,81.60,76.80,76.80,76.80,76.80
