#tp_osd_tp,ceph-osd,safe_timer,ms_dispatch,ms_local,rocksdb:low,io_context_pool,ceph_timer,fn_anonymous,bstore_aio,log,service,admin_socket,signal_handler,rocksdb:high,cfin,bstore_kv_sync,bstore_kv_final,finisher,osd_srv_agent,osd_srv_heartbt,OpHistorySvc,bstore_mempool
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
17.60,13.20,8.80,7.70,7.70,3.30,2.20,2.20,2.20,2.20,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10
