#reactor,crimson-osd
28.80,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
35.20,3.20
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
37.40,3.40
